Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_DFLS1200-7,D,100.0 V,diode_footprints:PowerDI_123,https://www.diodes.com/datasheet/download/DFLS1200.pdf,Schottky SMD 100.0 V,Diodes Incorporated,DFLS1200-7,DFLS1200-7,https://www.trustedparts.com/en/search/DFLS1200-7,1.2,Schottky
D_MMSZ5221BT1G,D,2.4 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 2.4 V,Onsemi,MMSZ5221BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5221BT1G,0.5,Zener
D_MMSZ5222BT1G,D,2.5 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 2.5 V,Onsemi,MMSZ5222BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5222BT1G,0.5,Zener
D_MMSZ5223BT1G,D,2.7 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 2.7 V,Onsemi,MMSZ5223BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5223BT1G,0.5,Zener
D_MMSZ5224BT1G,D,2.8 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 2.8 V,Onsemi,MMSZ5224BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5224BT1G,0.5,Zener
D_MMSZ5225BT1G,D,3.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 3.0 V,Onsemi,MMSZ5225BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5225BT1G,0.5,Zener
D_MMSZ5226BT1G,D,3.3 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 3.3 V,Onsemi,MMSZ5226BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5226BT1G,0.5,Zener
D_MMSZ5227BT1G,D,3.6 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 3.6 V,Onsemi,MMSZ5227BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5227BT1G,0.5,Zener
D_MMSZ5228BT1G,D,3.9 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 3.9 V,Onsemi,MMSZ5228BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5228BT1G,0.5,Zener
D_MMSZ5229BT1G,D,4.3 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 4.3 V,Onsemi,MMSZ5229BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5229BT1G,0.5,Zener
D_MMSZ5230BT1G,D,4.7 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 4.7 V,Onsemi,MMSZ5230BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5230BT1G,0.5,Zener
D_MMSZ5231BT1G,D,5.1 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 5.1 V,Onsemi,MMSZ5231BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5231BT1G,0.5,Zener
D_MMSZ5232BT1G,D,5.6 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 5.6 V,Onsemi,MMSZ5232BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5232BT1G,0.5,Zener
D_MMSZ5233BT1G,D,6.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 6.0 V,Onsemi,MMSZ5233BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5233BT1G,0.5,Zener
D_MMSZ5234BT1G,D,6.2 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 6.2 V,Onsemi,MMSZ5234BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5234BT1G,0.5,Zener
D_MMSZ5235BT1G,D,6.8 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 6.8 V,Onsemi,MMSZ5235BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5235BT1G,0.5,Zener
D_MMSZ5236BT1G,D,7.5 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 7.5 V,Onsemi,MMSZ5236BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5236BT1G,0.5,Zener
D_MMSZ5237BT1G,D,8.2 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 8.2 V,Onsemi,MMSZ5237BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5237BT1G,0.5,Zener
D_MMSZ5238BT1G,D,8.7 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 8.7 V,Onsemi,MMSZ5238BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5238BT1G,0.5,Zener
D_MMSZ5239BT1G,D,9.1 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 9.1 V,Onsemi,MMSZ5239BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5239BT1G,0.5,Zener
D_MMSZ5240BT1G,D,10.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 10.0 V,Onsemi,MMSZ5240BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5240BT1G,0.5,Zener
D_MMSZ5241BT1G,D,11.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 11.0 V,Onsemi,MMSZ5241BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5241BT1G,0.5,Zener
D_MMSZ5242BT1G,D,12.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 12.0 V,Onsemi,MMSZ5242BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5242BT1G,0.5,Zener
D_MMSZ5243BT1G,D,13.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 13.0 V,Onsemi,MMSZ5243BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5243BT1G,0.5,Zener
D_MMSZ5244BT1G,D,14.0 V,diode_footprints:SOD_123,https://www.onsemi.com/download/data-sheet/pdf/mmsz5221bt1-d.pdf,Zener SMD 14.0 V,Onsemi,MMSZ5244BT1G,MMSZ52,https://www.trustedparts.com/en/search/MMSZ5244BT1G,0.5,Zener
